iter	RMSE
0	0.3921303858
1	0.3754710813
2	0.3618186407
3	0.3497114724
4	0.3390428017
5	0.3296816621
6	0.3220018483
7	0.3150975498
8	0.3091064033
9	0.3037634806
10	0.2994180628
11	0.2956305041
12	0.2925936397
13	0.2900545343
14	0.2875116349
15	0.284591208
16	0.2826234123
17	0.28066109
18	0.2793248777
19	0.2776132799
20	0.2762571907
21	0.2747153576
22	0.2735248255
23	0.2725970298
24	0.2715092935
25	0.2707704146
26	0.2698416024
27	0.268766425
28	0.2676216639
29	0.26678013
30	0.2659990652
31	0.2655348413
32	0.2650355821
33	0.26441584
34	0.2628884476
35	0.262380887
36	0.2616508737
37	0.2610788583
38	0.2606013394
39	0.2599682671
40	0.2597727998
41	0.2594127129
42	0.2591324053
43	0.2584539333
44	0.2579213053
45	0.257439841
46	0.2569710924
47	0.2563848411
48	0.2561976195
49	0.2558176761
50	0.2553555888
51	0.2550735948
52	0.2546118928
53	0.2544564491
54	0.2542307704
55	0.2539066526
56	0.2536010403
57	0.2534618806
58	0.2532029773
59	0.2525862681
60	0.2524633082
61	0.2523828444
62	0.2520844477
63	0.2517562849
64	0.2515755957
65	0.2515355975
66	0.2514422532
67	0.2512756457
68	0.2510320463
69	0.2509579572
70	0.2508196041
71	0.2505425888
72	0.2503748662
73	0.2500563229
74	0.2495436993
75	0.2493013844
76	0.2491470465
77	0.2487626118
78	0.2482815809
79	0.2481534356
80	0.2479524777
81	0.247783726
82	0.247621398
83	0.2472809574
84	0.2471277376
85	0.2469028442
86	0.2468122197
87	0.246611
88	0.2464616907
89	0.2462615177
90	0.24608942
91	0.2458133064
92	0.2456777916
93	0.2453934162
94	0.2451593588
95	0.24490555
96	0.2446608386
97	0.2445020342
98	0.2443711297
99	0.2442979232
100	0.2441311406
101	0.2439513037
102	0.2438152024
103	0.2437318059
104	0.2436296245
105	0.2435507077
106	0.2434029235
107	0.2433374832
108	0.2431954046
109	0.2430558601
110	0.2429313466
111	0.2427621758
112	0.242599484
113	0.2425110279
114	0.2424045413
115	0.2422542594
116	0.2420845951
117	0.2419858627
118	0.241768543
119	0.2416497743
120	0.2415797906
121	0.2414288331
122	0.2413023212
123	0.2411918868
124	0.2410820561
125	0.2408979454
126	0.2407665626
127	0.2406453804
128	0.2405740551
129	0.2404045834
130	0.2401512899
131	0.2399816948
132	0.2397301069
133	0.2396650547
134	0.2392819945
135	0.2392403029
136	0.239043641
137	0.2389784858
138	0.2387880212
139	0.238681767
140	0.2385362875
141	0.2383296593
142	0.2382159578
143	0.2380696293
144	0.2377682184
145	0.237626688
146	0.2374354972
147	0.2372769816
148	0.2370698075
149	0.2369461901
150	0.2368543835
151	0.2367603377
152	0.2367169778
153	0.2365109418
154	0.2364387811
155	0.2362801861
156	0.2362148388
157	0.2360689729
158	0.2359561169
159	0.2358180321
160	0.2356004025
161	0.2355276928
162	0.2353869296
163	0.2352365734
164	0.2350933698
165	0.2349783379
166	0.2349083367
167	0.234793051
168	0.2346923512
169	0.2345181156
170	0.2344053943
171	0.234283108
172	0.2341488981
173	0.2340699893
174	0.2338935116
175	0.233770991
176	0.2336216069
177	0.2335295343
178	0.2333593147
179	0.2332826106
180	0.2331201283
181	0.2329956832
182	0.2328507981
183	0.2327957902
184	0.2327419849
185	0.232680221
186	0.2325895032
187	0.2325366845
188	0.2324075798
189	0.2323104073
190	0.2322175673
191	0.2321420098
192	0.2320378635
193	0.2319214634
194	0.2318527847
195	0.2317302383
196	0.2316455779
197	0.2315392712
198	0.2314016568
199	0.2313422388
200	0.2312212682
201	0.2311466018
202	0.2310882194
203	0.2310150397
204	0.230960028
205	0.230893096
206	0.2307740354
207	0.2306756103
208	0.2306122448
209	0.2305309768
210	0.2304763733
211	0.2304228311
212	0.2303550248
213	0.2302468897
214	0.2301115039
215	0.230022522
216	0.2299577316
217	0.2298505943
218	0.2298044798
219	0.2296860168
220	0.2296373879
221	0.2295629663
222	0.229408162
223	0.2293293391
224	0.2292668666
225	0.2292430696
226	0.2291335802
227	0.2290062687
228	0.2288696979
229	0.2288356849
230	0.2287720611
231	0.2286961678
232	0.2286192007
233	0.2285934165
234	0.2285404031
235	0.228450897
236	0.2283221304
237	0.2282753436
238	0.228201476
239	0.2280977305
240	0.2280547076
241	0.2280305007
242	0.2279168008
243	0.2278561077
244	0.2277871627
245	0.2277678931
246	0.2276665927
247	0.2275760706
248	0.227540782
249	0.227474351
250	0.2274203201
251	0.2271725402
252	0.2270889907
253	0.2270333377
254	0.2269997862
255	0.2269468123
256	0.2268576515
257	0.226817521
258	0.2267231478
259	0.2266714911
260	0.2265986464
261	0.2265313239
262	0.2264769844
263	0.226428345
264	0.2263856385
265	0.2262976066
266	0.2262306883
267	0.2261536917
268	0.2259860294
269	0.2259253724
270	0.2258433437
271	0.225757585
272	0.2257131274
273	0.2256738098
274	0.2255803593
275	0.2255152865
276	0.225440827
277	0.225375981
278	0.2252837068
279	0.22523081
280	0.2251653401
281	0.2250854937
282	0.2250260255
283	0.2249461183
284	0.2249032451
285	0.2248337706
286	0.2247657813
287	0.2247160805
288	0.2246471331
289	0.2245874445
290	0.2245461673
291	0.2244873081
292	0.224408007
293	0.2243314534
294	0.2242796531
295	0.2242395848
296	0.2241046646
297	0.2240511153
298	0.2240115783
299	0.2238133139
