iter	Passed	Remaining
0	4	1370
1	33	5041
2	64	6362
3	96	7137
4	104	6155
5	129	6323
6	162	6802
7	166	6093
8	172	5576
9	178	5166
10	182	4785
11	186	4468
12	190	4214
13	195	3994
14	200	3809
15	204	3634
16	208	3475
17	211	3310
18	214	3171
19	217	3045
20	222	2950
21	228	2886
22	238	2867
23	242	2793
24	247	2727
25	253	2669
26	256	2594
27	259	2521
28	263	2461
29	268	2413
30	271	2360
31	275	2306
32	279	2260
33	284	2224
34	288	2186
35	292	2146
36	298	2124
37	306	2112
38	310	2080
39	314	2042
40	317	2006
41	322	1982
42	325	1947
43	329	1919
44	334	1895
45	340	1882
46	347	1871
47	354	1859
48	359	1839
49	362	1812
50	368	1798
51	371	1771
52	375	1748
53	378	1723
54	382	1702
55	385	1679
56	388	1656
57	392	1637
58	397	1621
59	401	1606
60	405	1587
61	408	1570
62	413	1555
63	417	1538
64	420	1521
65	424	1503
66	428	1489
67	431	1471
68	433	1452
69	439	1445
70	443	1431
71	448	1418
72	451	1404
73	455	1390
74	459	1379
75	464	1368
76	467	1352
77	471	1341
78	475	1331
79	480	1321
80	484	1309
81	488	1298
82	492	1288
83	496	1276
84	499	1262
85	502	1249
86	505	1237
87	509	1226
88	512	1215
89	517	1206
90	523	1202
91	528	1194
92	532	1184
93	538	1180
94	543	1171
95	548	1165
96	554	1161
97	561	1157
98	565	1147
99	568	1137
100	574	1131
101	579	1124
102	582	1114
103	585	1103
104	588	1093
105	593	1086
106	597	1077
107	603	1072
108	606	1063
109	609	1053
110	613	1045
111	616	1035
112	622	1029
113	628	1025
114	633	1018
115	637	1011
116	641	1003
117	646	997
118	649	988
119	653	980
120	657	972
121	660	964
122	665	957
123	668	949
124	672	940
125	675	932
126	679	925
127	683	917
128	687	911
129	693	907
130	698	900
131	703	894
132	707	888
133	711	881
134	715	874
135	719	867
136	723	860
137	728	855
138	734	850
139	744	851
140	748	844
141	753	838
142	757	831
143	761	824
144	764	817
145	768	810
146	771	803
147	775	796
148	778	789
149	784	784
150	788	778
151	791	771
152	795	764
153	798	757
154	801	750
155	804	742
156	807	735
157	811	729
158	814	722
159	817	715
160	820	708
161	822	700
162	827	695
163	831	689
164	834	682
165	837	675
166	839	668
167	844	663
168	848	657
169	851	651
170	854	644
171	858	638
172	860	632
173	864	626
174	867	619
175	870	612
176	873	606
177	877	601
178	880	595
179	883	589
180	886	583
181	890	577
182	893	571
183	896	565
184	900	559
185	903	553
186	908	548
187	911	542
188	914	537
189	917	531
190	921	525
191	924	520
192	928	514
193	932	509
194	936	504
195	940	499
196	944	493
197	947	488
198	951	482
199	954	477
200	959	472
201	963	467
202	967	462
203	972	457
204	976	452
205	980	447
206	983	441
207	986	436
208	990	431
209	993	425
210	996	420
211	998	414
212	1001	409
213	1004	403
214	1007	398
215	1010	392
216	1013	387
217	1016	382
218	1019	377
219	1024	372
220	1027	367
221	1031	362
222	1034	357
223	1038	352
224	1042	347
225	1046	342
226	1050	337
227	1054	333
228	1058	328
229	1063	323
230	1068	319
231	1072	314
232	1076	309
233	1082	305
234	1085	300
235	1089	295
236	1093	290
237	1098	286
238	1101	281
239	1104	276
240	1107	271
241	1112	266
242	1116	261
243	1119	257
244	1123	252
245	1126	247
246	1130	242
247	1135	237
248	1139	233
249	1145	229
250	1149	224
251	1153	219
252	1156	214
253	1159	209
254	1162	205
255	1166	200
256	1169	195
257	1173	191
258	1180	186
259	1183	182
260	1186	177
261	1190	172
262	1193	167
263	1197	163
264	1200	158
265	1203	153
266	1207	149
267	1211	144
268	1214	139
269	1217	135
270	1221	130
271	1225	126
272	1229	121
273	1233	117
274	1236	112
275	1242	108
276	1245	103
277	1250	98
278	1256	94
279	1260	90
280	1264	85
281	1268	80
282	1275	76
283	1279	72
284	1283	67
285	1289	63
286	1295	58
287	1299	54
288	1313	49
289	1322	45
290	1328	41
291	1332	36
292	1338	31
293	1343	27
294	1347	22
295	1353	18
296	1360	13
297	1365	9
298	1373	4
299	1377	0
